model_name,experiment,uses_lag_features,target,n_features,n_train,n_validation,n_test,fit_time_seconds,predict_time_seconds,station_id_encoding,scaling_used,best_params,strategy,train_mae,train_rmse,train_r2,train_median_ae,train_explained_variance,train_mape,validation_mae,validation_rmse,validation_r2,validation_median_ae,validation_explained_variance,validation_mape,test_mae,test_rmse,test_r2,test_median_ae,test_explained_variance,test_mape,folder_name,display_name,model_order,variant_label,display_variant,intercept,coef_l2_norm,n_nonzero_coefficients,solver,alpha_grid,max_iter,tol,n_jobs,early_stopping,validation_fraction,n_iter_no_change,rank_validation_mae,rank_validation_rmse,rank_validation_median_ae,rank_validation_mape,rank_validation_r2,rank_validation_explained_variance,rank_sum_validation,rank_test_mae,rank_test_rmse,rank_test_median_ae,rank_test_mape,rank_test_r2,rank_test_explained_variance,rank_sum_test
DummyRegressor,with_lag,True,total_rentals,37,21410,4705,4725,0.0001909589918795,4.533299943432212e-05,one_hot,False,{},mean,28.39153576630807,37.55680532947059,0.0,23.551938346567027,0.0,1.0638718051524272,36.41862751472814,45.45745494052036,-0.490244568158283,31.551938346567027,0.0,0.586906938060169,37.69490944497577,48.017361941966215,-0.4987726462569104,31.448061653432973,0.0,0.6391352983401675,00_dummy_regressor,Dummy,0,with lag,Dummy (with lag),,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.0,102.0,17.0,17.0,17.0,17.0,17.0,17.0,102.0
DummyRegressor,without_lag,False,total_rentals,35,21410,4705,4725,0.0002936250239145,6.275001214817166e-05,one_hot,False,{},mean,28.39153576630807,37.55680532947059,0.0,23.551938346567027,0.0,1.0638718051524272,36.41862751472814,45.45745494052036,-0.490244568158283,31.551938346567027,0.0,0.586906938060169,37.69490944497577,48.017361941966215,-0.4987726462569104,31.448061653432973,0.0,0.6391352983401675,00_dummy_regressor,Dummy,0,without lag,Dummy (without lag),,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.0,102.0,17.0,17.0,17.0,17.0,17.0,17.0,102.0
LinearRegression,with_lag,True,total_rentals,37,21410,4705,4725,0.01037458301289,0.0008996249816846,one_hot,True,{},,14.94394315125848,21.710653123342844,0.6658292056397328,10.788022492978644,0.6658292056397328,0.4067528726292855,18.28180170863832,24.026315289620964,0.583685384879421,14.595336133381522,0.6074081478928481,0.3706972552772413,19.038399158115418,24.968685913705656,0.5947429878780885,15.049371814212677,0.620208300669451,0.3397300504216236,01_linear_regression,Linear,1,with lag,Linear (with lag),65.55193834656546,66.29581824168912,37.0,,,,,,,,,7.0,7.0,9.0,12.0,7.0,7.0,49.0,6.0,6.0,6.0,10.0,6.0,7.0,41.0
LinearRegression,without_lag,False,total_rentals,35,21410,4705,4725,0.0178671250178013,0.0006964589993003,one_hot,True,{},,18.26400833452576,25.89667747383595,0.5245434772427733,13.615928563033926,0.5245434772427733,0.5492492180832842,24.140458806800055,31.56373711173364,0.2815043405212689,18.565510398221846,0.3674211703230264,0.5556648627630951,27.66673682190554,35.74796216156461,0.1693047164534804,21.162441933013113,0.3247989509330958,0.6131123096630491,01_linear_regression,Linear,1,without lag,Linear (without lag),65.5519383465659,46.35568407318687,35.0,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,96.0,16.0,16.0,16.0,16.0,16.0,16.0,96.0
RidgeRegression,with_lag,True,total_rentals,37,21410,4705,4725,0.0017184170137625,0.0006967909866943,one_hot,True,{'alpha': 1000.0},,14.965256659362348,21.763107183935116,0.6642125071446604,10.738676909239963,0.6642125071446605,0.4114899112886835,18.12948910797895,23.81379670462979,0.591017620575182,14.560152416587512,0.6121766924495433,0.3726494036633451,18.995752764903063,24.919740965427863,0.596330243408981,14.988353908151396,0.6226789668817472,0.3446297446905629,02_ridge_regression,Ridge,2,with lag,Ridge (with lag),65.55193834656694,20.22969658698018,37.0,auto,"[0.001, 0.01, 0.1, 1.0, 5.0, 10.0, 50.0, 100.0, 500.0, 1000.0]",,,,,,,6.0,6.0,8.0,13.0,6.0,6.0,45.0,5.0,5.0,5.0,11.0,5.0,6.0,37.0
RidgeRegression,without_lag,False,total_rentals,35,21410,4705,4725,0.0020281669858377,0.0005970839993096,one_hot,True,{'alpha': 1000.0},,18.20461759362012,25.935197268221224,0.5231279977180966,13.51316599391679,0.5231279977180966,0.5507376576597905,23.57976922006681,30.95008983973355,0.3091700752113001,17.985765271770873,0.374706841801573,0.5432224155118646,26.913518529014855,34.86997665978178,0.209608103690958,20.586168025731183,0.3413612613571092,0.5954941698359003,02_ridge_regression,Ridge,2,without lag,Ridge (without lag),65.55193834656683,22.952207480091555,35.0,auto,"[0.001, 0.01, 0.1, 1.0, 5.0, 10.0, 50.0, 100.0, 500.0, 1000.0]",,,,,,,15.0,15.0,14.0,15.0,15.0,14.0,88.0,15.0,15.0,15.0,15.0,15.0,15.0,90.0
LassoRegression,with_lag,True,total_rentals,37,21410,4705,4725,0.0126241249963641,0.0006184169906191,one_hot,True,{'alpha': 1.2},,15.19073580957677,22.294678049508704,0.6476087433873512,10.899284690080703,0.6476087433873512,0.4019981724719976,17.344840058682475,23.152364983985105,0.6134211994936566,13.456038810527645,0.6150135953007737,0.3385626385010759,17.77562759635636,23.85923638623661,0.629956955441658,13.804077321912558,0.6310022279197832,0.2905165731750061,03_lasso_regression,Lasso,3,with lag,Lasso (with lag),65.55193834656703,20.220807417822407,11.0,,"[0.1, 0.3, 0.6, 0.8, 1.0, 1.2, 1.5, 2.0, 3.0]",10000.0,0.0001,,,,,5.0,5.0,3.0,6.0,5.0,5.0,29.0,3.0,3.0,3.0,5.0,3.0,4.0,21.0
LassoRegression,without_lag,False,total_rentals,35,21410,4705,4725,0.0094919999828562,0.000829500000691,one_hot,True,{'alpha': 1.5},,18.6554197652183,26.903856596216585,0.4868411859889411,13.788950197478524,0.4868411859889411,0.5478972259855884,22.884220558957136,30.04185128463958,0.3491203437619097,18.19832435540785,0.3675646035848087,0.5078899262054487,25.446628260157148,32.90818683813494,0.2960414723594023,20.11257583075937,0.363946921079048,0.5538106934183544,03_lasso_regression,Lasso,3,without lag,Lasso (without lag),65.55193834656703,20.8172728404318,21.0,,"[0.1, 0.3, 0.6, 0.8, 1.0, 1.2, 1.5, 2.0, 3.0]",10000.0,0.0001,,,,,14.0,14.0,15.0,14.0,14.0,15.0,86.0,14.0,14.0,14.0,14.0,14.0,14.0,84.0
DecisionTreeRegressor,with_lag,True,total_rentals,37,21410,4705,4725,0.0783597079862374,0.0018780830141622,one_hot,False,"{'max_depth': 8.0, 'min_samples_leaf': 10.0, 'min_samples_split': 20.0}",,13.656046564049388,19.52063888217504,0.7298463941119375,9.956458635703925,0.7298463941119375,0.3280151271225661,18.393539868753507,24.599465095886124,0.5635860332546587,14.038461538461531,0.5643399820323972,0.3502190900014604,19.466709763113595,26.67575172655365,0.5374352872981776,14.629032258064512,0.5500494216825538,0.2823117481135546,04_decision_tree,Decision Tree,4,with lag,Decision Tree (with lag),,,,,,,,,,,,8.0,9.0,6.0,10.0,9.0,10.0,52.0,7.0,9.0,4.0,2.0,9.0,9.0,40.0
DecisionTreeRegressor,without_lag,False,total_rentals,35,21410,4705,4725,0.0883143749961163,0.0020379170018713,one_hot,False,"{'max_depth': None, 'min_samples_leaf': 10.0, 'min_samples_split': 20.0}",,11.139975224301402,16.124709850497055,0.8156655399369586,8.093073593073594,0.8156655399369586,0.2794514982294154,20.511160419151505,27.20082843836552,0.4664052152205327,16.148148148148152,0.4920042581126762,0.3616535126342439,23.390684769214637,30.57555289584047,0.3923020046354799,18.727272727272727,0.4574578548434558,0.3325351381201941,04_decision_tree,Decision Tree,4,without lag,Decision Tree (without lag),,,,,,,,,,,,13.0,13.0,13.0,11.0,13.0,13.0,76.0,13.0,13.0,12.0,9.0,13.0,13.0,73.0
KNNRegressor,with_lag,True,total_rentals,37,21410,4705,4725,0.00282712499029,4.065496791998157,one_hot,True,"{'n_neighbors': 25, 'weights': 'distance', 'p': 1}",,0.0,0.0,1.0,0.0,1.0,0.0,17.23697521092312,22.68400838744992,0.6289034540415275,13.605165366122549,0.649066393051221,0.2901615727518468,19.547600068708984,25.365010807058464,0.5817756942514585,15.690325989295204,0.6290886518700769,0.2824088974044135,05_knn_regressor,KNN,5,with lag,KNN (with lag),,,,,,,,-1.0,,,,4.0,3.0,4.0,2.0,3.0,3.0,19.0,8.0,7.0,8.0,3.0,7.0,5.0,38.0
